Downloaded from FDA Regulatory Status of Color Additives; http://hfpappexternal.fda.gov/scripts/fdcc/?set=ColorAdditives; Last updated 2/14/2025; downloaded 4/11/2025.

"See End Note descriptions at https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=ColorAdditives."

CAS Reg No or other ID code,Color,See also,EEC No,Status,Use,Former use,RESTRICTIONS,End Notes Detail,END NOTES,Other names,RegnumCA1,RegnumCA2,RegnumCA3,RegnumCA4,RegnumCA5,RegnumCA6,RegnumO1,RegnumO2,RegnumO3,RegnumO4,RegnumO5,RegnumO6,RegnumO7,RegnumO8,RegnumO9,RegnumO10,RegnumO11,RegnumO12,RegnumO13,Citation 1a,Date FR 1a inc estimates,Text2 Date Actual FR 1a,Action 1a,Citation 1b,Date FR 1b,Action 1b,Citation 1c,Date FR 1c,Action 1c,Citation 1d,Date FR 1d,Action 1d,Citation 1e,Date FR 1e,Action 1e,Limitations 1,Citation 2a,Date FR 2a,Action 2a,Citation 2b,Date FR 2b,Action 2b,Citation 2c,Date FR 2c,Action 2c,Citation 2d,Date FR 2d,Action 2d,Citation 2e,Date FR 2e,Action 2e,Limitations 2,Citation 3a,Date FR 3a,Action 3a,Citation 3b,Date FR 3b,Action 3b,Citation 3c,Date FR 3c,Action 3c,Citation 3d,Date FR 3d,Action 3d,Limitations 3,Citation 4a,Date FR 4a,Action 4a,Citation 4b,Date FR 4b,Action 4b,Citation 4c,Date FR 4c,Action 4c,Citation 4d,Date FR 4d,Action 4d,Citation 4e,Date FR 4e,Action 4e,Citation 4f,Date FR 4f,Action 4f,Limitations 4,Citation 5a,Date FR 5a,Action 5a,Citation 5b,Date FR 5b,Action 5b,Citation 5c,Date FR 5c,Action 5c,Citation 5d,Date FR 5d,Action 5d,Citation 5e,Date FR 5e,Action 5e,Citation 5f,Date FR 5f,Action 5f,Limitations 5,Citation 6a,Date FR 6a,Action 6a,Citation 6b,Date FR 6b,Action 6b,Citation 6c,Date FR 6c,Action 6c,Citation 6d,Date FR 6d,Action 6d,Citation 6e,Date FR 6e,Action 6e,Limitations 6,Citation 7a,Date FR 7a,Action 7a,Citation 7b,Date FR 7b,Action 7b,Citation 7c,Date FR 7c,Action 7c,Citation 7d,Date FR 7d,Action 7d,Limitations 7,Citation 8a,Date FR 8a,Action 8a,Citation 8b,Date FR 8b,Action 8b,Citation 8c,Date FR 8c,Action 8c,Citation 8d,Date FR 8d,Action 8d,Limitations 8,Citation 9a,Date FR 9a,Action 9a,Citation 9b,Date FR 9b,Action 9b,Citation 9c,Date FR 9c,Action 9C,Limitations 9,Citation 10a,Date FR 10a,Action 10a,Citation 10b,Date FR 10b,Action 10b,Citation 10c,Date FR 10c,Action 10c,Limitations 10,Citation 11a,Date FR 11a,Action 11a,Citation 11b,Date FR 11b,Action 11b,Citation 11c,Date FR 11c,Action 11c,Limitations 11,Citation 12a,Date FR 12a,Action 12a,Citation 12b,Date FR 12b,Action 12b,Action 12c,Date FR 12c,Citation 12c,Limitations 12,Citation 13a,Date FR 13a,Action 13a,Citation 13b,Date FR 13b,Action 13b,Citation 13c,Date FR 13c,Action 13c,Limitations 13
" 977010-47-1"," Algae Meal, Dried",,," Permanently listed, exempt from certification"," Foods",," Chicken feed, NTE 0.3% or 150 ppm ethoxyquin,"," none",," &diams; Dried Algae Meal",=T("73.275"),,,,,,,,,,,,,,,,,,," 25 FR 11239",11/26/1960,," Notice of Filing"," 26 FR 5919",07/01/1961," Final Rule"," 26 FR 7544",08/15/1961," Final Rule; confirmation of effective date",,,,,,," For use in chicken feed. Ethoxyquin not to exceed 0.3% or 150 ppm of final feed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 977000-19-3"," Alkanet (Alkanna)",,," Delisted, formerly exempt from certification"," None"," formerly Foods",," none",,,,,,,,,,,,,,,,,,,,,," 26 FR 7578",08/16/1961,," Provisional Regulation"," 29 FR 17089",12/15/1964," Delisting"," 29 FR 17089",12/15/1964," Last use date",,,,,,," Provisional food use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 50-71-5"," Alloxan",,," Delisted, formerly exempt from certification"," None"," formerly Cosmetics",," none",," &diams; 2,4,5,6(1H,3H)-pyrimidinetetrone<br />&diams; 2,4,5,6-pyrimidinetetrone<br />&diams; 2,4,5,6-tetraoxohexahydropyrimidine<br />&diams; alloxane<br />&diams; mesoxalylcarbamide<br />&diams; mesoxalylurea<br />&diams; pyrimidinetetrone",,,,,,,,,,,,,,,,,,,," 25 FR 9759",10/12/1960,," Provisional Regulation"," 29 FR 17089",12/15/1964," Delisting"," 29 FR 17089",12/15/1964," Last use date",,,,,,," Provisional cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1344-28-1"," Alumina",,," Permanently listed, exempt from certification"," Drugs",," Drugs generally.",,=T("5")," &diams; aluminum oxide",=T("73.1010"),,,,,,,,,,,,,,,,,,," 28 FR 7424",07/20/1963,," Provisional Regulation",,,,,,,,,,,,," Provisional drug use."," 32 FR 2645",02/08/1967," Notice of Filing"," 32 FR 6685",05/02/1967," Final Rule"," 32 FR 8814",06/21/1967," Final Rule; confirmation of effective date",,,,,,," Drugs generally GMP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 555-32-8"," Aluminum Benzoate",,," Delisted, formerly exempt from certification"," None"," formerly Cosmetics",," none",,,,,,,,,,,,,,,,,,,,,," 26 FR 7578",08/16/1961,," Provisional Regulation"," 33 FR 982",01/26/1968," Delisting"," 33 FR 982",01/26/1968," Last use date",,,,,,," Provisional cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 21645-51-2"," Aluminum Hydroxide",,," Delisted, formerly exempt from certification"," None"," formerly Cosmetics",," none",," &diams; ALUMINA, HYDRATED<br />&diams; ALUMINUM HYDRATE<br />&diams; ALUMINUM HYDROXIDE (AL(OH)3)<br />&diams; ALUMINUM OXIDE HYDRATE<br />&diams; ALUMINUM TRIHYDRATE<br />&diams; ALUMINUM, HYDRATED<br />&diams; HYDRATED ALUMINA",,,,,,,=T("177.1460"),=T("178.3297"),=T("182.90"),,,,,,,,,,," 26 FR 7578",08/16/1961,," Provisional Regulation"," 40 FR 15087",04/04/1975," Delisting"," 40 FR 15087",04/04/1975," Last use date",,,,,,," Provisional cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 7429-90-5"," Aluminum Powder",,," Permanently listed, exempt from certification"," Drugs, Cosmetics",," Externally applied drugs including eye area use. Externally applied cosmetics including eye area use.",,=T("6")," &diams; Aluminum Flake<br />&diams; Metal Powdered Aluminum<br />&diams; C.I. 77000<br />&diams; C.I. Metal Pigment 1<br />&diams; Pigment Metal 1",=T("73.1645"),=T("73.2645"),,,,,=T("175.105"),=T("178.3297"),,,,,,,,,,,," 25 FR 9759",10/12/1960,," Provisional Regulation",,,,,,,,,,,,," Provisional cosmetic use."," 42 FR 38563",07/29/1977," Final Rule"," 42 FR 52392",09/30/1977," Final Rule; confirmation of effective date",,,,,,,,,," External drugs and cosmetics including eye area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 637-12-7"," Aluminum Stearate",,," Delisted, formerly exempt from certification"," None"," formerly Cosmetics",," none",," &diams; ALUMINUM OCTADECANOATE<br />&diams; ALUMINUM STEARATE, TRIBASIC<br />&diams; ALUMINUM(III) STEARATE<br />&diams; OCTADECANOIC ACID, ALUMINUM SALT<br />&diams; STEARIC ACID, ALUMINUM SALT",,,,,,,=T("172.863"),=T("173.340"),=T("175.210"),=T("175.300"),=T("177.2800"),=T("178.3297"),=T("181.29"),,,,,,," 28 FR 317",01/11/1963,," Provisional Regulation"," 41 FR 41855",09/23/1976," Delisting"," 41 FR 41855",09/23/1976," Last use date: Oct 26, 1976",,,,,,," Provisional cosmetic use. No interest."," 38 FR 21200",08/06/1973," Notice of filing."," 41 FR 41855",09/23/1976," Withdrawal. No interest.",,,,,,,,,," Externally applied cosmetics. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1393-63-1"," Annatto Extract / Annatto",," E160b"," Permanently listed, exempt from certification"," Foods, Drugs, Cosmetics",," Foods generally; ingested drugs generally, external drugs including eye area use; cosmetics generally including eye area use.",," 5, 6",,=T("73.1030"),=T("73.2030"),=T("73.30"),,,,,,,,,,,,,,,,," 25 FR 9759",10/12/1960,," Provisional Regulation (Annatto)",,,,,,,,,,,,," Provisional food use (as Annatto)."," 26 FR 7578",08/16/1961," Provisional Regulation (Annatto)",,,,,,,,,,,,," Provisional cosmetic use (as Annatto)."," 28 FR 6351",06/20/1963," Final Rule (Annatto extract)"," 28 FR 7936",08/03/1963," Final Rule; confirmation of effective date (Annatto extract)",,,,,,," Foods generally GMP (as Annatto extract); exempt from certification."," 28 FR 7936",08/03/1963," Delisting from provisional list (Annatto)",,,,,,,,,,,,,,,," Termination of provisional food use (as Annatto)"," 28 FR 10202",09/18/1963," Final Rule"," 28 FR 12161",11/15/1963," Final Rule; confirmation of effective date",,,,,,,,,,,,," Ingested drugs generally GMP (as Annatto extract)"," 42 FR 27299",05/27/1977," Notice"," 42 FR 36993",07/19/1977," Final Rule (Annatto)"," 42 FR 54800",10/11/1977," Final Rule; confirmation of effective date",,,,,,," External drugs (as Annatto extract) and cosmetics (as Annatto) generally including eye area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," Antarctic krill meal",,," Permanently listed, exempt from certification"," Foods",," Salmonid feed. NTE 4% by weight in freshwater salmonid feed and 12% by weight in marine salmonid feed.  The quantity of astaxanthin in the finished feed, from Antarctic krill meal when used alone or in combination with other astaxanthin color additive sources listed in this part, must not exceed 80 mg/kg astaxanthin (72 grams/ton) in the finished feed.",,=T("1"),,=T("73.32"),,,,,,,,,,,,,,,,,,," 83 FR 15089",04/09/2018,," Notification of petition"," 87 FR 27931",05/10/2022," Final Rule"," 87 FR 54615",09/07/2022," Final Rule; confirmation of effective date",,,,,,," Salmonid feed. NTE 4% by weight in freshwater salmonid feed and 12% by weight in marine salmonid feed. Total astaxanthin limited in finished feed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
